"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\Users\ajani\Documents\GitHub\Robertify-Website\.eslintrc.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\ajani\Documents\GitHub\Robertify-Website\.github\dependabot.yml", "YAML", 0, 0, 0, 0, 0, 6, 4, 2, 12
"c:\Users\ajani\Documents\GitHub\Robertify-Website\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\ajani\Documents\GitHub\Robertify-Website\components\CommandsTableRow.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\ajani\Documents\GitHub\Robertify-Website\components\Hero.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\ajani\Documents\GitHub\Robertify-Website\components\Layout.js", "JavaScript", 141, 0, 0, 0, 0, 0, 1, 11, 153
"c:\Users\ajani\Documents\GitHub\Robertify-Website\components\SelectMenu.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\ajani\Documents\GitHub\Robertify-Website\components\Toggle.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\ajani\Documents\GitHub\Robertify-Website\components\dashboard\GuildCard.js", "JavaScript", 29, 0, 0, 0, 0, 0, 4, 5, 38
"c:\Users\ajani\Documents\GitHub\Robertify-Website\next.config.js", "JavaScript", 29, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\ajani\Documents\GitHub\Robertify-Website\package-lock.json", "JSON", 0, 0, 0, 5678, 0, 0, 0, 1, 5679
"c:\Users\ajani\Documents\GitHub\Robertify-Website\package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\404.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\_app.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\api\discord\guilds\[id].js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\api\discord\guilds\index.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 6, 72
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\api\discord\index.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\api\discord\users\[id].js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\api\discord\users\guilds\[id].js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\api\discord\users\guilds\index.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\api\discord\users\index.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 9, 45
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\api\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 2, 6
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\callback\discord\guild\invite.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\callback\discord\index.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\commands.js", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 19, 164
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\dashboard\guilds\[id].js", "JavaScript", 346, 0, 0, 0, 0, 0, 1, 43, 390
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\dashboard\index.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 13, 123
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\index.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 4, 83
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\privacy-policy.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 2, 51
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\tos.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Users\ajani\Documents\GitHub\Robertify-Website\pages\vote.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\ajani\Documents\GitHub\Robertify-Website\public\vercel.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\ajani\Documents\GitHub\Robertify-Website\styles\Home.module.css", "CSS", 0, 100, 0, 0, 0, 0, 0, 17, 117
